/* DATA DESCRIPTION:
Citation:	Zhao, M et al. (2001): Alkenones, SST (annual mean) of sediment core MD97-2151. doi:10.1594/PANGAEA.65431, 
	In Supplement to: Zhao, Meixun; Huang, Chi-Yue; Wang, Chia-Chun; Wei, Ganjian (2006): A millennial-scale U37K' sea-surface temperature record from the South China Sea (8°N) over the last 150 kyr: Monsoon and sea-level influence. Palaeogeography, Palaeoclimatology, Palaeoecology, 236(1-2), 39-55, doi:10.1016/j.palaeo.2005.11.033
Project(s):	International Marine Global Change Study (IMAGES)
Coverage:	LATITUDE: 8.728000 * LONGITUDE: 109.869000
	MINIMUM DEPTH, sediment/rock: 0.0 m * MAXIMUM DEPTH, sediment/rock: 26.5 m
Event(s):	MD97-2151 (MD972151) * LATITUDE: 8.728000 * LONGITUDE: 109.869000 * ELEVATION: -1598.0 m * RECOVERY: 26.72 m * LOCATION: South China Sea (URI: http://en.wikipedia.org/wiki/South_China_Sea) * CAMPAIGN: MD106 (IMAGES III - IPHIS) (URI: http://www.ifremer.fr/sismer/UK/catal/campagne/campagnea.htql?crno=97200010) * BASIS: Marion Dufresne (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth)
	Alkenone, unsaturation index UK'37 (UK'37) * PI: Chen, Min-Te (eMail: mtchen@mail.ntou.edu.tw) * METHOD: Calculated from C37 alkenones (Zhao, M et al, 1995) (URI: doi:10.1029/94PA03354)
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Chen, Min-Te (eMail: mtchen@mail.ntou.edu.tw) * METHOD: Calculated from UK37 (Pelejero & Grimalt, 1997) (URI: doi:10.1016/S0016-7037(97)00280-9)
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	2214 data points
*/
Depth [m]	UK'37	SST (1-12) [°C]
21.805	0.913	26.496
21.885	0.906	26.254
21.925	0.909	26.344
21.965	0.930	27.024
22.005	0.867	24.986
22.045	0.911	26.416
22.085	0.869	25.070
22.125	0.894	25.882
22.165	0.871	25.113
22.205	0.888	25.675
22.285	0.886	25.616
22.325	0.869	25.071
22.405	0.872	25.163
22.445	0.882	25.470
22.485	0.883	25.525
22.525	0.870	25.104
22.565	0.890	25.742
22.605	0.859	24.740
22.645	0.888	25.680
22.685	0.875	25.252
22.725	0.895	25.896
22.765	0.877	25.314
22.805	0.858	24.709
22.845	0.883	25.508
22.885	0.887	25.644
22.925	0.886	25.618
22.965	0.857	24.682
23.005	0.890	25.747
23.045	0.839	24.097
23.085	0.846	24.312
23.125	0.822	23.537
23.165	0.829	23.766
23.245	0.822	23.535
23.325	0.829	23.765
23.365	0.832	23.870
23.405	0.822	23.555
23.445	0.826	23.675
23.485	0.833	23.916
23.525	0.831	23.833
23.605	0.837	24.018
23.645	0.837	24.018
23.685	0.835	23.963
23.765	0.830	23.796
23.785	0.867	25.007
23.825	0.864	24.898
23.905	0.861	24.819
23.985	0.892	25.811
24.065	0.907	26.275
24.105	0.895	25.905
24.145	0.903	26.170
24.185	0.894	25.883
24.225	0.881	25.456
24.265	0.886	25.598
24.305	0.871	25.128
24.345	0.888	25.685
24.385	0.890	25.744
24.465	0.903	26.160
24.505	0.888	25.679
24.545	0.889	25.720
24.625	0.881	25.459
24.665	0.897	25.979
24.705	0.880	25.419
24.745	0.887	25.652
24.785	0.880	25.419
24.945	0.891	25.766
24.985	0.895	25.906
25.025	0.884	25.547
25.065	0.896	25.927
25.105	0.895	25.914
25.145	0.906	26.254
25.185	0.892	25.796
25.225	0.895	25.893
25.265	0.899	26.017
25.305	0.907	26.301
25.345	0.901	26.100
25.385	0.901	26.084
25.425	0.913	26.487
25.465	0.898	26.002
25.505	0.904	26.186
25.545	0.906	26.247
25.585	0.889	25.715
25.625	0.890	25.729
25.705	0.899	26.021
25.745	0.891	25.788
25.785	0.905	26.240
25.825	0.904	26.185
25.865	0.905	26.236
25.905	0.895	25.894
25.945	0.894	25.871
25.985	0.890	25.743
26.035	0.895	25.917
26.105	0.876	25.293
26.145	0.881	25.438
26.185	0.897	25.971
26.225	0.857	24.689
26.265	0.893	25.848
26.305	0.894	25.862
26.345	0.902	26.130
26.425	0.881	25.450
26.465	0.864	24.896
